plate_number,location,timestamp,camera_id
DL-05-CQ-4521,Karol Bagh Intersection,2024-03-10T08:15:22Z,ANPR-DEL-001
DL-05-CQ-4521,Paharganj Main Market,2024-03-10T08:45:10Z,ANPR-DEL-014
UP-32-AB-7890,Chandni Chowk Entry,2024-03-10T09:12:05Z,ANPR-DEL-042
UP-32-AB-7890,Paharganj Main Market,2024-03-10T09:35:50Z,ANPR-DEL-014
DL-05-CQ-4521,Sadar Bazar Road,2024-03-10T11:05:33Z,ANPR-DEL-022
DL-14-CC-1234,Karol Bagh Intersection,2024-03-10T11:15:00Z,ANPR-DEL-001
UP-32-AB-7890,Noida Toll Bridge,2024-03-11T14:22:15Z,ANPR-UP-014
HR-26-DQ-5555,Noida Toll Bridge,2024-03-11T14:25:10Z,ANPR-UP-014
DL-05-CQ-4521,Chandni Chowk Entry,2024-03-12T10:10:05Z,ANPR-DEL-042
DL-05-CQ-4521,Karol Bagh Intersection,2024-03-13T09:40:22Z,ANPR-DEL-001
UP-32-AB-7890,Paharganj Main Market,2024-03-14T16:15:30Z,ANPR-DEL-014
DL-05-CQ-4521,Sadar Bazar Road,2024-03-15T08:55:10Z,ANPR-DEL-022
